in s,C1 in V
-1.1969010E+01,6.30371E-01
-1.1968836E+01,6.25488E-01
-1.1968662E+01,8.64746E-01
-1.1968488E+01,9.33105E-01
-1.1968314E+01,9.62402E-01
-1.1968140E+01,9.62402E-01
-1.1967966E+01,9.67285E-01
-1.1967792E+01,7.52441E-01
-1.1967618E+01,6.79199E-01
-1.1967444E+01,6.79199E-01
-1.1967270E+01,6.49902E-01
-1.1967096E+01,6.84082E-01
-1.1966922E+01,6.69434E-01
-1.1966748E+01,6.49902E-01
-1.1966574E+01,6.30371E-01
-1.1966400E+01,6.30371E-01
-1.1966226E+01,6.20605E-01
-1.1966052E+01,6.30371E-01
-1.1965878E+01,6.35254E-01
-1.1965704E+01,6.25488E-01
-1.1965530E+01,6.25488E-01
-1.1965356E+01,6.15723E-01
-1.1965182E+01,6.25488E-01
-1.1965008E+01,6.25488E-01
-1.1964834E+01,6.20605E-01
-1.1964660E+01,6.35254E-01
-1.1964486E+01,6.30371E-01
-1.1964312E+01,6.40137E-01
-1.1964138E+01,6.79199E-01
-1.1963964E+01,8.79395E-01
-1.1963790E+01,9.47754E-01
-1.1963616E+01,9.62402E-01
-1.1963442E+01,9.72168E-01
-1.1963268E+01,9.42871E-01
-1.1963094E+01,7.47559E-01
-1.1962920E+01,6.84082E-01
-1.1962746E+01,6.74316E-01
-1.1962572E+01,6.74316E-01
-1.1962398E+01,6.74316E-01
-1.1962224E+01,6.74316E-01
-1.1962050E+01,6.59668E-01
-1.1961876E+01,6.49902E-01
-1.1961702E+01,6.35254E-01
-1.1961528E+01,6.35254E-01
-1.1961354E+01,6.54785E-01
-1.1961180E+01,6.20605E-01
-1.1961006E+01,6.25488E-01
-1.1960832E+01,6.20605E-01
-1.1960658E+01,6.40137E-01
-1.1960484E+01,6.45020E-01
-1.1960310E+01,8.59863E-01
-1.1960136E+01,9.28223E-01
-1.1959962E+01,9.62402E-01
-1.1959788E+01,9.42871E-01
-1.1959614E+01,9.47754E-01
-1.1959440E+01,7.37793E-01
-1.1959266E+01,6.64551E-01
-1.1959092E+01,6.59668E-01
